"Notation_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Description_e"
"skynet","","\WIGOS\GAW\GAW Other elements\AOD\SKYNET","",""
"SOOPBOM","","\Co-sponsored\GOOS\SOT\SOOP-BOM","",""
"SOOT","","\Co-sponsored\GOOS\SOT\SOOT","",""
"SOT","","\Co-sponsored\GOOS\SOT","",""
"spainPDEMB","","\Co-sponsored\GOOS\DBCP\SPAIN-PDE MB","",""
"stratus","","\Co-sponsored\GOOS\DBCP\STRATUS","",""
"TAMDAR","","\WIGOS\GOS\GOS Other elements\ABOS\TAMDAR","",""
"taoAtlas","","\Co-sponsored\GOOS\DBCP\TAO ATLAS","",""
"taoPirata","","\Co-sponsored\GOOS\DBCP\TAO PIRATA","",""
"taoPirataUS","","\Co-sponsored\GOOS\DBCP\TAO PIRATA US","",""
"taoRamaUSindia","","\Co-sponsored\GOOS\DBCP\TAO RAMA US-INDIA","",""
"taoTriton","","\Co-sponsored\GOOS\DBCP\TAO TRITON","",""
"TCCON","","\WIGOS\GAW\GAW Contributing networks\TCCON","",""
"UCSDscripps","","\Co-sponsored\GOOS\DBCP\UCSD-SCRIPPS","",""
"UKjerseyMB","","\Co-sponsored\GOOS\DBCP\UK-JERSEY MB","",""
"UKMODB","","\Co-sponsored\GOOS\DBCP\UK-MO DB","",""
"UKMOfixed","","\Co-sponsored\GOOS\DBCP\UK-MO FIXED","",""
"UKMOLV","","\Co-sponsored\GOOS\DBCP\UK-MO LV","",""
"UKMOMB","","\Co-sponsored\GOOS\DBCP\UK-MO MB","",""
"USCGDB","","\Co-sponsored\GOOS\DBCP\US-CG DB","",""
"VOS","","\Co-sponsored\GOOS\SOT\VOS","",""
"VOS3P","","\Co-sponsored\GOOS\SOT\VOS\VOS-3P","",""
"VOSAU","","\Co-sponsored\GOOS\SOT\VOS\VOS-AU","",""
"VOSCA","","\Co-sponsored\GOOS\SOT\VOS\VOS-CA","",""
"VOSCL","","\Co-sponsored\GOOS\SOT\VOS\VOS-CL","",""
"VOSDE","","\Co-sponsored\GOOS\SOT\VOS\VOS-DE","",""
"VOSES","","\Co-sponsored\GOOS\SOT\VOS\VOS-ES","",""
"VOSEU","","\Co-sponsored\GOOS\SOT\VOS\VOS-EU","",""
"VOSFR","","\Co-sponsored\GOOS\SOT\VOS\VOS-FR","",""
"VOSGB","","\Co-sponsored\GOOS\SOT\VOS\VOS-GB","",""
"VOSGR","","\Co-sponsored\GOOS\SOT\VOS\VOS-GR","",""
"VOSHK","","\Co-sponsored\GOOS\SOT\VOS\VOS-HK","",""
"VOSIE","","\Co-sponsored\GOOS\SOT\VOS\VOS-IE","",""
"VOSIL","","\Co-sponsored\GOOS\SOT\VOS\VOS-IL","",""
"VOSIN","","\Co-sponsored\GOOS\SOT\VOS\VOS-IN","",""
"VOSIS","","\Co-sponsored\GOOS\SOT\VOS\VOS-IS","",""
"VOSJP","","\Co-sponsored\GOOS\SOT\VOS\VOS-JP","",""
"VOSKR","","\Co-sponsored\GOOS\SOT\VOS\VOS-KR","",""
"VOSMY","","\Co-sponsored\GOOS\SOT\VOS\VOS-MY","",""
"VOSNL","","\Co-sponsored\GOOS\SOT\VOS\VOS-NL","",""
"VOSNO","","\Co-sponsored\GOOS\SOT\VOS\VOS-NO","",""
"VOSNZ","","\Co-sponsored\GOOS\SOT\VOS\VOS-NZ","",""
"VOSPL","","\Co-sponsored\GOOS\SOT\VOS-PL","",""
"VOSRU","","\Co-sponsored\GOOS\SOT\VOS\VOS-RU","",""
"VOSSE","","\Co-sponsored\GOOS\SOT\VOS\VOS-SE","",""
"VOSSHIPMASK","","\Co-sponsored\GOOS\SOT\VOS\VOS-SHIP-MASK","",""
"VOSUS","","\Co-sponsored\GOOS\SOT\VOS\VOS-US","",""
"VOSZA","","\Co-sponsored\GOOS\SOT\VOS\VOS-ZA","",""
"WHOS","","\WIGOS\WHOS","",""
"WHYCOS","","\WIGOS\WHOS\WHYCOS","",""
"WIGOS","","\WIGOS","",""
"WIGOSnonAffiliated","","\Non-affiliated","",""
"windProfiler","","\WIGOS\GOS\GOS Other elements\Wind Profilers","",""
"WRO","","\WIGOS\GOS\GOS Other elements\WRO","",""
