"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"673","","\Atmosphere\Aerosol\Composition\Trace elements\Aluminium (Al), PM2.5","Aluminium (Al), PM2.5",NA
"674","","\Atmosphere\Aerosol\Composition\Trace elements\Aluminium (Al), total aerosol","Aluminium (Al), total aerosol",NA
"390","","\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\Ammonia (NH3)","Ammonia (NH3)",NA
"644","","\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonia (NH3), PM2.5","Ammonia (NH3), PM2.5",NA
"568","","\Atmosphere\Total Atmospheric Deposition\Inorganic nitrogen species\Ammonium (NH4+)","Ammonium (NH4+)",NA
"645","","\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium (NH4+), PM10","Ammonium (NH4+), PM10",NA
"646","","\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium (NH4+), PM2.5","Ammonium (NH4+), PM2.5",NA
"647","","\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium (NH4+), total aerosol","Ammonium (NH4+), total aerosol",NA
"649","","\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium nitrate (NH4NO3), PM1","Ammonium nitrate (NH4NO3), PM1",NA
"648","","\Atmosphere\Aerosol\Composition\Inorganic nitrogen species\Ammonium nitrate (NH4NO3), total aerosol","Ammonium nitrate (NH4NO3), total aerosol",NA
"210","","\Atmosphere\Precipitation\Amount of precipitation","Amount of precipitation",NA
"675","","\Atmosphere\Aerosol\Composition\Trace elements\Antimony (Sb), PM2.5","Antimony (Sb), PM2.5",NA
"676","","\Atmosphere\Aerosol\Composition\Trace elements\Antimony (Sb), total aerosol","Antimony (Sb), total aerosol",NA
"598","","\Atmosphere\Total Atmospheric Deposition\Trace elements\Arsenic (As)","Arsenic (As)",NA
"677","","\Atmosphere\Aerosol\Composition\Trace elements\Arsenic (As), PM10","Arsenic (As), PM10",NA
"678","","\Atmosphere\Aerosol\Composition\Trace elements\Arsenic (As), total aerosol","Arsenic (As), total aerosol",NA
"10000","","\Atmosphere","Atmosphere",NA
"39","","\Atmosphere\Atmospheric density","Atmospheric density","3D field of density of the atmosphere"
"216","","\Atmosphere\Pressure\Atmospheric pressure","Atmospheric pressure",NA
"12000","","\Atmosphere\Pressure\Atmospheric pressure profile","Atmospheric pressure profile","Upper-air atmospheric pressure"
"114","","\Outer Space\Ionospheric disturbances\Aurora","Aurora","Occurence of fluorescence of the upper atmosphere through ionization by energetic charged particles accelerated by the Earth's magnetic field."
"267","","\Atmosphere\Radiation\Background luminance","Background luminance",NA
"679","","\Atmosphere\Aerosol\Composition\Trace elements\Barium (Ba), PM2.5","Barium (Ba), PM2.5",NA
"680","","\Atmosphere\Aerosol\Composition\Trace elements\Barium (Ba), total aerosol","Barium (Ba), total aerosol",NA
"10076","","\Ocean\Basic Physical Properties","Basic Physical Properties",NA
"13","","\Ocean\Topography\Bathymetry","Bathymetry",NA
"219","","\Atmosphere\Radionuclide\Beryllium [Be-7]","Beryllium [Be-7]",NA
"10067","","\Ocean\Biology","Biology",NA
"423","","\Terrestrial\Land surface\Vegetation\Biomass","Biomass","Total amount of vegetation in a reference area - Physical unit: [ t/ha (tons/hectare) ] - Accuracy unit: [ t/ha ]"
"681","","\Atmosphere\Aerosol\Composition\Trace elements\Bismuth (Bi), PM2.5","Bismuth (Bi), PM2.5",NA
"682","","\Atmosphere\Aerosol\Composition\Trace elements\Bismuth (Bi), total aerosol","Bismuth (Bi), total aerosol",NA
"231","","\Terrestrial\Land surface\Breaking action/friction coefficient","Breaking action/friction coefficient",NA
"274","","\Atmosphere\Gas\Reactive Gas\BrO (bromine monoxide)","BrO (bromine monoxide)",NA
"538","","\Atmosphere\Total Atmospheric Deposition\Inorganic anions\Bromide (Br-)","Bromide (Br-)",NA
"375","","\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in aerosol","C12H8Cl6 (aldrin), in aerosol",NA
"376","","\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in air","C12H8Cl6 (aldrin), in air",NA
"377","","\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in air and aerosol","C12H8Cl6 (aldrin), in air and aerosol",NA
"378","","\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in total precipitation","C12H8Cl6 (aldrin), in total precipitation",NA
"379","","\Atmosphere\POPs\POP\C12H8Cl6 (aldrin), in wet precipitation","C12H8Cl6 (aldrin), in wet precipitation",NA
"334","","\Atmosphere\POPs\PAH\C13H10 (9H-fluorene, fluorene), in air","C13H10 (9H-fluorene, fluorene), in air",NA
"336","","\Atmosphere\POPs\PAH\C14H10 (anthracene), in aerosol","C14H10 (anthracene), in aerosol",NA
"338","","\Atmosphere\POPs\PAH\C14H10 (anthracene), in air","C14H10 (anthracene), in air",NA
"337","","\Atmosphere\POPs\PAH\C14H10 (anthracene), in air and aerosol","C14H10 (anthracene), in air and aerosol",NA
"335","","\Atmosphere\POPs\PAH\C14H10 (anthracene), PM10","C14H10 (anthracene), PM10",NA
"340","","\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in aerosol","C14H10 (phenanthrene), in aerosol",NA
"341","","\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in air","C14H10 (phenanthrene), in air",NA
"342","","\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in air and aerosol","C14H10 (phenanthrene), in air and aerosol",NA
"344","","\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in total precipitation","C14H10 (phenanthrene), in total precipitation",NA
"343","","\Atmosphere\POPs\PAH\C14H10 (phenanthrene), in wet deposition","C14H10 (phenanthrene), in wet deposition",NA
"339","","\Atmosphere\POPs\PAH\C14H10 (phenanthrene), PM10","C14H10 (phenanthrene), PM10",NA
"345","","\Atmosphere\POPs\PAH\C16H10 (pyrene), in air and aerosol","C16H10 (pyrene), in air and aerosol",NA
"347","","\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in aerosol","C18H12 (Benz(a)anthracene), in aerosol",NA
"348","","\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in air","C18H12 (Benz(a)anthracene), in air",NA
"349","","\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in air and aerosol","C18H12 (Benz(a)anthracene), in air and aerosol",NA
"350","","\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in precipitation","C18H12 (Benz(a)anthracene), in precipitation",NA
"351","","\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), in total precipitation","C18H12 (Benz(a)anthracene), in total precipitation",NA
"346","","\Atmosphere\POPs\PAH\C18H12 (Benz(a)anthracene), PM10","C18H12 (Benz(a)anthracene), PM10",NA
"589","","\Atmosphere\Gas\Greenhouse Gas\CFCs\C2Cl2F4 (1,2-dichlorotetrafluoroethane, CFC-114)","C2Cl2F4 (1,2-dichlorotetrafluoroethane, CFC-114)",NA
"590","","\Atmosphere\Gas\Greenhouse Gas\CFCs\C2Cl3F3 (1,1,2-trichloro-1,2,2-trifluoroethane, CFC-113)","C2Cl3F3 (1,1,2-trichloro-1,2,2-trifluoroethane, CFC-113)",NA
"275","","\Atmosphere\Gas\Reactive Gas\C2Cl4 (tetrachloroethene)","C2Cl4 (tetrachloroethene)",NA
"591","","\Atmosphere\Gas\Greenhouse Gas\CFCs\C2ClF5 (1-chloro-1,1,2,2,2-pentafluoroethane, CFC-115)","C2ClF5 (1-chloro-1,1,2,2,2-pentafluoroethane, CFC-115)",NA
"419","","\Atmosphere\Gas\Greenhouse Gas\PFCs\C2F6 (hexafluoroethane, PFC-116)","C2F6 (hexafluoroethane, PFC-116)",NA
"434","","\Atmosphere\Gas\Reactive Gas\VOC\C2H2 (ethyne, acetylene)","C2H2 (ethyne, acetylene)",NA
"554","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C2H2F4 (1,1,1,2-tetrafluoroethane, HFC-134a)","C2H2F4 (1,1,1,2-tetrafluoroethane, HFC-134a)",NA
"435","","\Atmosphere\Gas\Reactive Gas\VOC\C2H2O2 (oxaldehyde, ethanedial)","C2H2O2 (oxaldehyde, ethanedial)",NA
"534","","\Atmosphere\Gas\Greenhouse Gas\HCFCs\C2H3Cl2F (1,1-dichloro-1-fluoroethane, HCFC-141b)","C2H3Cl2F (1,1-dichloro-1-fluoroethane, HCFC-141b)",NA
"535","","\Atmosphere\Gas\Greenhouse Gas\HCFCs\C2H3ClF2 (1-chloro-1,1-difluoroethane, HCFC-142b)","C2H3ClF2 (1-chloro-1,1-difluoroethane, HCFC-142b)",NA
"536","","\Atmosphere\Gas\Greenhouse Gas\HCFCs\C2H3F3 (1,1,1-trifluoroethane, HCFC-143a)","C2H3F3 (1,1,1-trifluoroethane, HCFC-143a)",NA
"663","","\Atmosphere\Aerosol\Composition\Organic anions\C2H3O2- (CH3COO-, acetate), in aerosol","C2H3O2- (CH3COO-, acetate), in aerosol",NA
"662","","\Atmosphere\Aerosol\Composition\Organic anions\C2H3O2- (CH3COO-, acetate), PM1","C2H3O2- (CH3COO-, acetate), PM1",NA
"391","","\Atmosphere\Gas\Reactive Gas\Nitrogen containing compounds\C2H3O5N (peroxyacetylnitrate, PAN)","C2H3O5N (peroxyacetylnitrate, PAN)",NA
"436","","\Atmosphere\Gas\Reactive Gas\VOC\C2H4 (ethene)","C2H4 (ethene)",NA
"555","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C2H4F2 (1,1-difluoroethane, HFC-152a)","C2H4F2 (1,1-difluoroethane, HFC-152a)",NA
"437","","\Atmosphere\Gas\Reactive Gas\VOC\C2H6 (ethane)","C2H6 (ethane)",NA
"438","","\Atmosphere\Gas\Reactive Gas\VOC\C2H6S (dimethylsulfide, DMS)","C2H6S (dimethylsulfide, DMS)",NA
"90","","\Ocean\Reactive Gas\C2H6S (dimethylsulfide, DMS)","C2H6S (dimethylsulfide, DMS)",NA
"276","","\Atmosphere\Gas\Reactive Gas\C2HCl3 (trichloroethene)","C2HCl3 (trichloroethene)",NA
"556","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C2HF5 (pentafluoroethane, HFC-125)","C2HF5 (pentafluoroethane, HFC-125)",NA
"664","","\Atmosphere\Aerosol\Composition\Organic anions\C2O4= (oxalate, ethanedioate), PM1","C2O4= (oxalate, ethanedioate), PM1",NA
"665","","\Atmosphere\Aerosol\Composition\Organic anions\C2O4= (oxalate, ethanedioate), PM10","C2O4= (oxalate, ethanedioate), PM10",NA
"666","","\Atmosphere\Aerosol\Composition\Organic anions\C2O4= (oxalate, ethanedioate), total aerosol","C2O4= (oxalate, ethanedioate), total aerosol",NA
"420","","\Atmosphere\Gas\Greenhouse Gas\PFCs\C3F8 (octafluoropropane, PFC-218)","C3F8 (octafluoropropane, PFC-218)",NA
"557","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C3H2F6 (1,1,1,2,3,3-hexafluoropropane, HFC-236fa)","C3H2F6 (1,1,1,2,3,3-hexafluoropropane, HFC-236fa)",NA
"558","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C3H3F5 (1,1,1,3,3-Pentafluoropropane, HFC-245fa)","C3H3F5 (1,1,1,3,3-Pentafluoropropane, HFC-245fa)",NA
"441","","\Atmosphere\Gas\Reactive Gas\VOC\C3H4O2 (2-oxopropanal, methylglyoxal)","C3H4O2 (2-oxopropanal, methylglyoxal)",NA
"440","","\Atmosphere\Gas\Reactive Gas\VOC\C3H4O (prop-2-enal, acrolein)","C3H4O (prop-2-enal, acrolein)",NA
"439","","\Atmosphere\Gas\Reactive Gas\VOC\C3H4 (propyne)","C3H4 (propyne)",NA
"443","","\Atmosphere\Gas\Reactive Gas\VOC\C3H6O (acetone, propanone)","C3H6O (acetone, propanone)",NA
"444","","\Atmosphere\Gas\Reactive Gas\VOC\C3H6O (propanal)","C3H6O (propanal)",NA
"442","","\Atmosphere\Gas\Reactive Gas\VOC\C3H6 (propene)","C3H6 (propene)",NA
"445","","\Atmosphere\Gas\Reactive Gas\VOC\C3H8 (propane)","C3H8 (propane)",NA
"559","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C3HF7 (1,1,1,2,3,3,3-Heptafluoropropane, HFC-227ea)","C3HF7 (1,1,1,2,3,3,3-Heptafluoropropane, HFC-227ea)",NA
"560","","\Atmosphere\Gas\Greenhouse Gas\HFCs\C4H5F5 (1,1,1,3,3-pentafluorobutane, HFC-365mfc)","C4H5F5 (1,1,1,3,3-pentafluorobutane, HFC-365mfc)",NA
"446","","\Atmosphere\Gas\Reactive Gas\VOC\C4H6 (1,3-butadiene, butadiene)","C4H6 (1,3-butadiene, butadiene)",NA
"447","","\Atmosphere\Gas\Reactive Gas\VOC\C4H6O (2-methylprop-2-enal, methacrolein)","C4H6O (2-methylprop-2-enal, methacrolein)",NA
"448","","\Atmosphere\Gas\Reactive Gas\VOC\C4H6O (but-3-en-2-one, methylvinylketone)","C4H6O (but-3-en-2-one, methylvinylketone)",NA
"449","","\Atmosphere\Gas\Reactive Gas\VOC\C4H8 (1-butene)","C4H8 (1-butene)",NA
"451","","\Atmosphere\Gas\Reactive Gas\VOC\C4H8O (butan-2-one, methylethylketone)","C4H8O (butan-2-one, methylethylketone)",NA
"452","","\Atmosphere\Gas\Reactive Gas\VOC\C4H8O (butanal isomers)","C4H8O (butanal isomers)",NA
"450","","\Atmosphere\Gas\Reactive Gas\VOC\C4H8 (sum of butenes)","C4H8 (sum of butenes)",NA
"453","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (1-pentene)","C5H10 (1-pentene)",NA
"454","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (2-methyl-1-butene)","C5H10 (2-methyl-1-butene)",NA
"455","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (2-methyl-2-butene)","C5H10 (2-methyl-2-butene)",NA
"456","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (3-methyl-1-butene)","C5H10 (3-methyl-1-butene)",NA
"457","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (cyclopentane)","C5H10 (cyclopentane)",NA
"460","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10O (pentanal, valeraldehyde)","C5H10O (pentanal, valeraldehyde)",NA
"458","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (sum of 1-pentene & 2-methyl-2-butene)","C5H10 (sum of 1-pentene & 2-methyl-2-butene)",NA
"459","","\Atmosphere\Gas\Reactive Gas\VOC\C5H10 (sum of pentenes)","C5H10 (sum of pentenes)",NA
"462","","\Atmosphere\Gas\Reactive Gas\VOC\C5H12 (2,2-dimethylpropane)","C5H12 (2,2-dimethylpropane)",NA
"461","","\Atmosphere\Gas\Reactive Gas\VOC\C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)","C5H12 & C4H8 (sum of 2,2-dimethylpropane & c-2-butene)",NA
"463","","\Atmosphere\Gas\Reactive Gas\VOC\C5H14 (2,3-dimethylbutane)","C5H14 (2,3-dimethylbutane)",NA
"464","","\Atmosphere\Gas\Reactive Gas\VOC\C5H8 (2-methyl-1,3-butadiene, isoprene)","C5H8 (2-methyl-1,3-butadiene, isoprene)",NA
"465","","\Atmosphere\Gas\Reactive Gas\VOC\C5H8 (cyclopentene)","C5H8 (cyclopentene)",NA
"466","","\Atmosphere\Gas\Reactive Gas\VOC\C5Hn (n={10, 8}; sum of 3-methyl-1-butene & cyclopentene)","C5Hn (n={10, 8}; sum of 3-methyl-1-butene & cyclopentene)",NA
"467","","\Atmosphere\Gas\Reactive Gas\VOC\C5Hn (n={12, 10}; sum of n-pentane & cyclopentane)","C5Hn (n={12, 10}; sum of n-pentane & cyclopentane)",NA
"380","","\Atmosphere\POPs\POP\C6Cl6 (hexachlorobenzene, HCB), in air","C6Cl6 (hexachlorobenzene, HCB), in air",NA
"468","","\Atmosphere\Gas\Reactive Gas\VOC\C6H12 (cyclohexane)","C6H12 (cyclohexane)",NA
"469","","\Atmosphere\Gas\Reactive Gas\VOC\C6H12 (methylcyclopentane)","C6H12 (methylcyclopentane)",NA
"470","","\Atmosphere\Gas\Reactive Gas\VOC\C6H12O (hexanal isomers)","C6H12O (hexanal isomers)",NA
"471","","\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (2,2-dimethylbutane)","C6H14 (2,2-dimethylbutane)",NA
"472","","\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (2-methylpentane)","C6H14 (2-methylpentane)",NA
"473","","\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (3-methylpentane)","C6H14 (3-methylpentane)",NA
"474","","\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (n-hexane)","C6H14 (n-hexane)",NA
"475","","\Atmosphere\Gas\Reactive Gas\VOC\C6H14 (sum of methylpentanes)","C6H14 (sum of methylpentanes)",NA
"476","","\Atmosphere\Gas\Reactive Gas\VOC\C6H6 (benzene)","C6H6 (benzene)",NA
"381","","\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in aerosol",NA
"382","","\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in air",NA
"383","","\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, alpha-lindane, alpha-HCH), in wet precipitation",NA
"384","","\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in air",NA
"385","","\Atmosphere\POPs\POP\C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation","C6H6Cl6 (1,2,3,4,5,6-hexachlorocyclohexane, gamma-lindane, gamma-HCH), in wet precipitation",NA
"478","","\Atmosphere\Gas\Reactive Gas\VOC\C6Hn (n={14, 12}; sum of 2,2-dimethylbutane & methylcyclopentane","C6Hn (n={14, 12}; sum of 2,2-dimethylbutane & methylcyclopentane",NA
"479","","\Atmosphere\Gas\Reactive Gas\VOC\C6Hn (n={14, 12}; sum of 2,3-dimethylbutane & methylcyclopentane","C6Hn (n={14, 12}; sum of 2,3-dimethylbutane & methylcyclopentane",NA
"477","","\Atmosphere\Gas\Reactive Gas\VOC\C6Hn (n={14, 12}; sum of 3-methylpentane & cyclohexane)","C6Hn (n={14, 12}; sum of 3-methylpentane & cyclohexane)",NA
"480","","\Atmosphere\Gas\Reactive Gas\VOC\C7H16 (sum of methylhexanes)","C7H16 (sum of methylhexanes)",NA
"481","","\Atmosphere\Gas\Reactive Gas\VOC\C7H6O (benzene carbaldehyde)","C7H6O (benzene carbaldehyde)",NA
"482","","\Atmosphere\Gas\Reactive Gas\VOC\C7H8 (toluene)","C7H8 (toluene)",NA
"483","","\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (ethylbenzene)","C8H10 (ethylbenzene)",NA
"484","","\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (m-xylene)","C8H10 (m-xylene)",NA
"485","","\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (o-xylene)","C8H10 (o-xylene)",NA
"486","","\Atmosphere\Gas\Reactive Gas\VOC\C8H10 (p,m-xylene)","C8H10 (p,m-xylene)",NA
"487","","\Atmosphere\Gas\Reactive Gas\VOC\C9H12 (1,2,4-trimethylbenzene)","C9H12 (1,2,4-trimethylbenzene)",NA
"488","","\Atmosphere\Gas\Reactive Gas\VOC\C9H12 (1,3,5-trimethylbenzene)","C9H12 (1,3,5-trimethylbenzene)",NA
"599","","\Atmosphere\Total Atmospheric Deposition\Trace elements\Cadmium (Cd)","Cadmium (Cd)",NA
"683","","\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM1","Cadmium (Cd), PM1",NA
"684","","\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM10","Cadmium (Cd), PM10",NA
"685","","\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM2.5","Cadmium (Cd), PM2.5",NA
"686","","\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), PM2.5 thru PM10","Cadmium (Cd), PM2.5 thru PM10",NA
"687","","\Atmosphere\Aerosol\Composition\Trace elements\Cadmium (Cd), total aerosol","Cadmium (Cd), total aerosol",NA
"545","","\Atmosphere\Total Atmospheric Deposition\Inorganic cations\Calcium (Ca++)","Calcium (Ca++)",NA
"632","","\Atmosphere\Aerosol\Composition\Inorganic cations\Calcium (Ca++), PM10","Calcium (Ca++), PM10",NA
"633","","\Atmosphere\Aerosol\Composition\Inorganic cations\Calcium (Ca++), PM2.5","Calcium (Ca++), PM2.5",NA
"634","","\Atmosphere\Aerosol\Composition\Inorganic cations\Calcium (Ca++), total aerosol","Calcium (Ca++), total aerosol",NA
"670","","\Atmosphere\Aerosol\Composition\Organic carbonaceous\Carbonaceous/organic material (coarse), PM10","Carbonaceous/organic material (coarse), PM10",NA
"671","","\Atmosphere\Aerosol\Composition\Organic carbonaceous\Carbonaceous/organic material (fine)","Carbonaceous/organic material (fine)",NA
"10116","","\Ocean\Miscellaneous\Carbon species","Carbon species",NA
"332","","\Atmosphere\Gas\Greenhouse Gas\Halon\CBrClF2 (Halon 1211)","CBrClF2 (Halon 1211)",NA
"333","","\Atmosphere\Gas\Greenhouse Gas\Halon\CBrF3 (bromotrifluoromethane, Halon 1301)","CBrF3 (bromotrifluoromethane, Halon 1301)",NA
"495","","\Atmosphere\Gas\Reactive Gas\VOC\c-C4H8 (cis-2-butene)","c-C4H8 (cis-2-butene)",NA
"496","","\Atmosphere\Gas\Reactive Gas\VOC\c-C5H10 (cis-2-pentene)","c-C5H10 (cis-2-pentene)",NA
"592","","\Atmosphere\Gas\Greenhouse Gas\CFCs\CCl2F2 (dichlorodifluoromethane, CFC-12)","CCl2F2 (dichlorodifluoromethane, CFC-12)",NA
"593","","\Atmosphere\Gas\Greenhouse Gas\CFCs\CCl3F (trichlorofluoromethane, CFC-11)","CCl3F (trichlorofluoromethane, CFC-11)",NA
"594","","\Atmosphere\Gas\Greenhouse Gas\Halocarbons\CCl4 (carbon tetrachloride)","CCl4 (carbon tetrachloride)",NA
"411","","\Atmosphere\Aerosol\Physical properties - secondary\CCN concentration at single supersaturation","CCN concentration at single supersaturation",NA
"412","","\Atmosphere\Aerosol\Physical properties - secondary\CCN concentration spectra","CCN concentration spectra",NA
"688","","\Atmosphere\Aerosol\Composition\Trace elements\Cerium (Ce), PM2.5","Cerium (Ce), PM2.5",NA
"689","","\Atmosphere\Aerosol\Composition\Trace elements\Cerium (Ce), total aerosol","Cerium (Ce), total aerosol",NA
"421","","\Atmosphere\Gas\Greenhouse Gas\PFCs\CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)","CF4 (tetrafluoromethane, carbon tetrafluoride, perfluoromethane, PFC-14)",NA
"10024","","\Atmosphere\Gas\Greenhouse Gas\CFCs","CFCs",NA
"277","","\Atmosphere\Gas\Reactive Gas\CH2Br2 (dibromomethane)","CH2Br2 (dibromomethane)",NA
"278","","\Atmosphere\Gas\Reactive Gas\CH2Cl2 (dichloromethane)","CH2Cl2 (dichloromethane)",NA
"561","","\Atmosphere\Gas\Greenhouse Gas\HFCs\CH2F2 (difluoromethane, HFC-32)","CH2F2 (difluoromethane, HFC-32)",NA
"489","","\Atmosphere\Gas\Reactive Gas\VOC\CH2O (formaldehyde)","CH2O (formaldehyde)",NA
"279","","\Atmosphere\Gas\Reactive Gas\CH3Br (methylbromide)","CH3Br (methylbromide)",NA
"595","","\Atmosphere\Gas\Greenhouse Gas\Halocarbons\CH3CCl3 (1,1,1-trichloroethane)","CH3CCl3 (1,1,1-trichloroethane)",NA
"490","","\Atmosphere\Gas\Reactive Gas\VOC\CH3CH2OH (ethanol)","CH3CH2OH (ethanol)",NA
"491","","\Atmosphere\Gas\Reactive Gas\VOC\CH3CHO (acetaldehyde, ethanal)","CH3CHO (acetaldehyde, ethanal)",NA
"280","","\Atmosphere\Gas\Reactive Gas\CH3Cl (methylchloride)","CH3Cl (methylchloride)",NA
"492","","\Atmosphere\Gas\Reactive Gas\VOC\CH3CN (acetonitrile)","CH3CN (acetonitrile)",NA
"281","","\Atmosphere\Gas\Reactive Gas\CH3I (methyliodide)","CH3I (methyliodide)",NA
"667","","\Atmosphere\Aerosol\Composition\Organic anions\CH3O3S- (methanesulfonate), PM1","CH3O3S- (methanesulfonate), PM1",NA
"668","","\Atmosphere\Aerosol\Composition\Organic anions\CH3O3S- (methanesulfonate), total aerosol","CH3O3S- (methanesulfonate), total aerosol",NA
"493","","\Atmosphere\Gas\Reactive Gas\VOC\CH3OH (methanol)","CH3OH (methanol)",NA
